"IdEmpresa";"IdOT";"Item";"Estado";"Venta";"Costo"
"1";"46";"2";"1";"41000";"37000"
"1";"46";"3";"1";"41000";"37000"
"1";"46";"4";"1";"41000";"37000"
"1";"46";"5";"1";"41000";"37000"
"1";"46";"6";"1";"41000";"37000"
"1";"47";"1";"1";"45000";"38000"
"1";"47";"2";"1";"45000";"38000"
"1";"48";"1";"1";"45000";"37000"
"1";"48";"2";"1";"45000";"37000"
"1";"48";"3";"1";"45000";"37000"
"1";"49";"1";"1";"45000";"38000"
"1";"49";"2";"1";"45000";"38000"
"1";"49";"3";"1";"45000";"38000"
"1";"50";"1";"1";"26000";"18000"
"1";"50";"2";"1";"26000";"18000"
"1";"50";"3";"1";"26000";"18000"
"1";"50";"4";"1";"26000";"18000"
"1";"50";"5";"1";"26000";"18000"
"1";"50";"6";"1";"26000";"18000"
"1";"51";"1";"1";"41000";"36000"
"1";"51";"2";"1";"41000";"36000"
"1";"52";"1";"1";"41000";"36000"
"1";"52";"2";"1";"41000";"36000"
"1";"53";"1";"1";"41000";"36000"
"1";"54";"1";"1";"45000";"37000"
"1";"54";"2";"1";"45000";"37000"
"1";"55";"1";"1";"45000";"38000"
"1";"55";"2";"1";"45000";"37000"
"1";"55";"3";"1";"45000";"37000"
"1";"55";"4";"1";"45000";"37000"
"1";"55";"5";"1";"45000";"37000"
"1";"55";"6";"1";"45000";"37000"
"1";"55";"7";"1";"45000";"37000"
"1";"55";"8";"1";"45000";"37000"
"1";"55";"9";"1";"45000";"37000"
"1";"56";"1";"1";"45000";"37000"
"1";"56";"2";"1";"45000";"37000"
"1";"57";"1";"1";"33000";"30000"
"1";"57";"2";"1";"33000";"30000"
"1";"58";"1";"1";"33000";"30000"
"1";"58";"2";"1";"33000";"30000"
"1";"58";"3";"1";"33000";"30000"
"1";"58";"4";"1";"33000";"30000"
"1";"59";"1";"1";"45000";"38000"
"1";"59";"2";"1";"45000";"38000"
"1";"59";"3";"1";"45000";"38000"
"1";"59";"4";"1";"45000";"38000"
"1";"60";"1";"1";"45000";"38000"
"1";"60";"2";"1";"45000";"38000"
"1";"61";"1";"1";"23000";"19000"
"1";"61";"2";"1";"23000";"19000"
"1";"61";"3";"1";"23000";"19000"
"1";"61";"4";"1";"23000";"19000"
"1";"61";"5";"1";"23000";"19000"
"1";"61";"6";"1";"23000";"19000"
"1";"61";"7";"1";"23000";"19000"
"1";"61";"8";"1";"23000";"19000"
"1";"62";"1";"1";"27000";"22000"
"1";"62";"2";"1";"27000";"22000"
"1";"63";"1";"1";"45000";"37000"
"1";"63";"2";"1";"45000";"37000"
"1";"64";"1";"1";"23000";"18000"
"1";"64";"2";"1";"23000";"18000"
"1";"64";"3";"1";"23000";"18000"
"1";"64";"4";"1";"23000";"18000"
"1";"65";"1";"1";"52000";"45000"
"1";"65";"2";"1";"52000";"45000"
"1";"65";"3";"1";"52000";"45000"
"1";"65";"4";"1";"52000";"45000"
"1";"66";"1";"1";"19500";"16500"
"1";"66";"2";"1";"19500";"16500"
"1";"67";"1";"1";"33000";"27000"
"1";"67";"2";"1";"33000";"27000"
"1";"68";"1";"1";"27000";"24000"
"1";"69";"1";"1";"41000";"36000"
"1";"69";"2";"1";"41000";"36000"
"1";"70";"1";"1";"45000";"38000"
"1";"70";"2";"1";"45000";"38000"
"1";"70";"3";"1";"45000";"38000"
"1";"71";"1";"1";"45000";"38000"
"1";"71";"2";"1";"45000";"38000"
"1";"72";"1";"1";"45000";"38000"
"1";"73";"1";"1";"78000";"60000"
"1";"74";"1";"1";"33000";"30000"
"1";"74";"2";"1";"33000";"30000"
"1";"74";"3";"1";"33000";"30000"
"1";"74";"4";"1";"33000";"30000"
"1";"75";"1";"1";"33000";"30000"
"1";"76";"1";"1";"19500";"16500"
"1";"76";"2";"1";"19500";"16500"
"1";"76";"3";"1";"19500";"16500"
"1";"76";"4";"1";"19500";"16500"
"1";"76";"5";"1";"19500";"16500"
"1";"77";"1";"1";"30000";"24000"
"1";"77";"2";"1";"30000";"24000"
"1";"78";"2";"1";"45000";"37000"
"1";"78";"3";"1";"45000";"37000"
"1";"80";"1";"1";"41000";"36000"
"1";"81";"1";"1";"41000";"36000"
"1";"81";"2";"1";"41000";"36000"
"1";"82";"1";"1";"41000";"36000"
"1";"83";"1";"1";"27000";"24000"
"1";"84";"1";"1";"45000";"39000"
"1";"85";"1";"1";"26000";"18000"
"1";"85";"2";"1";"26000";"18000"
"1";"85";"3";"1";"26000";"17000"
"1";"85";"4";"1";"26000";"18000"
"1";"85";"5";"1";"26000";"19000"
"1";"85";"6";"1";"26000";"18000"
"1";"86";"1";"1";"52000";"45000"
"1";"86";"2";"1";"52000";"45000"
"1";"86";"3";"1";"52000";"45000"
"1";"86";"4";"1";"52000";"45000"
"1";"87";"1";"1";"10500";"6000"
"1";"88";"1";"1";"28000";"20000"
"1";"89";"1";"1";"33000";"30000"
"1";"89";"2";"1";"33000";"30000"
"1";"90";"1";"1";"33000";"30000"
"1";"91";"1";"1";"45000";"38000"
"1";"91";"2";"1";"45000";"38000"
"1";"91";"3";"1";"45000";"38000"
"1";"92";"1";"1";"45000";"38000"
"1";"92";"2";"1";"45000";"38000"
"1";"92";"3";"1";"45000";"38000"
"1";"93";"1";"1";"45000";"37000"
"1";"94";"1";"1";"23000";"19000"
"1";"94";"2";"1";"23000";"19000"
"1";"94";"3";"1";"23000";"19000"
"1";"94";"4";"1";"23000";"19000"
"1";"95";"1";"1";"33000";"30000"
"1";"95";"2";"1";"33000";"30000"
"1";"95";"3";"1";"33000";"30000"
"1";"96";"1";"1";"33000";"30000"
"1";"97";"1";"1";"30000";"24000"
"1";"97";"2";"1";"30000";"24000"
"1";"97";"3";"1";"30000";"24000"
"1";"98";"1";"1";"52000";"44000"
"1";"98";"2";"1";"52000";"44000"
"1";"99";"1";"1";"26000";"18000"
"1";"99";"2";"1";"26000";"18000"
"1";"100";"1";"1";"19500";"16500"
"1";"100";"2";"1";"19500";"16500"
"1";"100";"3";"1";"19500";"16500"
"1";"100";"4";"1";"19500";"16500"
"1";"100";"5";"1";"19500";"16500"
"1";"101";"1";"1";"41000";"36000"
"1";"101";"2";"1";"41000";"35000"
"1";"101";"3";"1";"41000";"36000"
"1";"101";"4";"1";"41000";"35000"
"1";"101";"5";"1";"41000";"36000"
"1";"101";"6";"1";"41000";"36000"
"1";"101";"7";"1";"41000";"36000"
"1";"101";"8";"1";"41000";"35000"
"1";"102";"1";"1";"33000";"30000"
"1";"102";"2";"1";"33000";"30000"
"1";"102";"3";"1";"33000";"30000"
"1";"103";"1";"1";"33000";"30000"
"1";"103";"2";"1";"33000";"30000"
"1";"104";"1";"1";"33000";"30000"
"1";"105";"1";"1";"81300";"60000"
"1";"106";"1";"1";"33000";"30000"
"1";"108";"1";"1";"33000";"30000"
"1";"109";"1";"1";"45000";"38000"
"1";"109";"2";"1";"45000";"38000"
"1";"110";"1";"1";"41000";"35000"
"1";"110";"2";"1";"41000";"36000"
"1";"110";"3";"1";"41000";"35000"
"1";"110";"4";"1";"41000";"35000"
"1";"110";"5";"1";"41000";"36000"
"1";"111";"1";"1";"41000";"35000"
"1";"111";"2";"1";"41000";"35000"
"1";"111";"3";"1";"41000";"36000"
"1";"111";"4";"1";"41000";"36000"
"1";"112";"1";"1";"41000";"36000"
"1";"113";"1";"1";"41000";"36000"
"1";"114";"1";"1";"34500";"26000"
"1";"115";"1";"1";"30000";"24000"
"1";"115";"2";"1";"30000";"24000"
"1";"116";"1";"1";"54000";"47000"
"1";"116";"2";"1";"54000";"47000"
"1";"117";"1";"1";"45000";"38000"
