idCorredor;IdEmpresa;IdOrigen;IdDestino;IdRetorno;OneWay;RoundTrip;TTA_Transporte;TTA_Cliente;IndTipo;Costo;Fecha;Activo;IdUsuario;equivalente;
50;1;PTO BS AS; BRANDSEN;PTO BS AS;23;46;1;2;1;6000;29/04/2020 00:00;1;2;\N;
51;1;PTO BS AS;FORMOSA;PTO BS AS;1200;2400;12;14;1;80000;02/05/2020 00:00;1;2;\N;
52;1;PTO BS AS;FIRMAT;PTO BS AS;400;800;8;9;1;28000;02/05/2020 00:00;1;2;\N;
53;1;PTO BS AS;BALCARCE;PTO BS AS;400;800;7;8;1;32000;02/05/2020 00:00;1;2;\N;
54;1;PTO BS AS;CASEROS;PTO BS AS;30;60;2;3;1;6000;07/05/2020 00:00;1;2;\N;
55;1;PTO BS AS;CAPITAN BERMUDEZ;PTO BS AS;320;640;6;7;1;24000;08/05/2020 00:00;1;2;\N;
56;1;PTO BS AS;LOMAS DEL MIRADOR;PTO BS AS;26;52;2;3;1;6000;14/05/2020 00:00;1;2;\N;
57;1;PTO BS AS;SAN FRANCISCO;PTO BS AS;570;1140;8;9;1;36000;14/05/2020 00:00;1;2;\N;
58;1;PTO BS AS;BAHIA BLANCA;PTO BS AS;650;1300;9;10;1;47000;19/05/2020 00:00;1;2;\N;
59;1;PTO BS AS;JUNIN;PTO BS AS;270;540;6;7;1;24000;19/05/2020 00:00;1;2;\N;
60;1;PTO BS AS;SINSACATE ;PTO BS AS;760;1520;11;13;1;45000;20/05/2020 00:00;1;2;\N;
61;1;PTO BS AS;EL TIO;PTO BS AS;655;1310;10;12;1;38000;01/06/2020 00:00;1;2;\N;
62;1;PTO BS AS;PUEBLO ESTHER;PTO BS AS;250;500;5;6;1;25000;04/07/2020 00:00;1;2;\N;
63;1;PTO BS AS;INGENIERO LUIGUI;PTO BS AS;650;1300;10;12;1;40000;24/08/2020 00:00;1;2;\N;
64;1;PTO BS AS;BARRANQUERAS;PTO BS AS;930;1860;14;15;1;70000;08/06/2020 00:00;1;3;\N;
65;1;PTO BS AS;9 DE JULIO;PTO BS AS;280;560;5;6;1;24000;09/06/2020 00:00;1;2;\N;
